,LAW_CAT_CD,OFNS_DESC,YEAR,CMPLNT_NUM
100,FELONY,FORGERY,2013.0,4217
101,FELONY,FORGERY,2014.0,4799
102,FELONY,FORGERY,2015.0,5231
103,FELONY,FORGERY,2016.0,6195
104,FELONY,FORGERY,2017.0,5180
105,FELONY,GAMBLING,2006.0,29
106,FELONY,GAMBLING,2007.0,30
107,FELONY,GAMBLING,2008.0,15
108,FELONY,GAMBLING,2009.0,9
109,FELONY,GAMBLING,2010.0,11
110,FELONY,GAMBLING,2011.0,4
111,FELONY,GAMBLING,2012.0,9
112,FELONY,GAMBLING,2013.0,8
113,FELONY,GAMBLING,2014.0,4
114,FELONY,GAMBLING,2015.0,3
115,FELONY,GAMBLING,2016.0,3
116,FELONY,GAMBLING,2017.0,3
117,FELONY,GRAND LARCENY,2006.0,46229
118,FELONY,GRAND LARCENY,2007.0,44659
119,FELONY,GRAND LARCENY,2008.0,43754
120,FELONY,GRAND LARCENY,2009.0,38985
121,FELONY,GRAND LARCENY,2010.0,38065
122,FELONY,GRAND LARCENY,2011.0,38887
123,FELONY,GRAND LARCENY,2012.0,42961
124,FELONY,GRAND LARCENY,2013.0,45496
125,FELONY,GRAND LARCENY,2014.0,44271
126,FELONY,GRAND LARCENY,2015.0,44080
127,FELONY,GRAND LARCENY,2016.0,44091
128,FELONY,GRAND LARCENY,2017.0,40683
129,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2006.0,15692
130,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2007.0,13157
131,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2008.0,12469
132,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2009.0,10616
133,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2010.0,10292
134,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2011.0,9288
135,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2012.0,8068
136,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2013.0,7353
137,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2014.0,7658
138,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2015.0,7320
139,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2016.0,6331
140,FELONY,GRAND LARCENY OF MOTOR VEHICLE,2017.0,5594
141,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2006.0,3
142,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2007.0,4
143,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2008.0,2
144,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2009.0,1
145,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2010.0,4
146,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2011.0,1
147,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2012.0,5
148,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2013.0,7
149,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2014.0,6
150,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2016.0,3
151,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2017.0,16
152,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2006.0,5
153,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2007.0,6
154,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2008.0,11
155,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2009.0,19
156,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2010.0,12
157,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2011.0,11
158,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2012.0,13
159,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2013.0,11
160,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2014.0,2
161,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2015.0,3
162,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2016.0,1
163,FELONY,HOMICIDE-NEGLIGENT-VEHICLE,2017.0,3
164,FELONY,INTOXICATED/IMPAIRED DRIVING,2006.0,2
165,FELONY,INTOXICATED/IMPAIRED DRIVING,2008.0,2
166,FELONY,INTOXICATED/IMPAIRED DRIVING,2009.0,4
